"店舗名","店舗名（英語）","住所","住所（英語）","検索条件エリア","カテゴリ（まとめ）","SSID種類"
"赤から紀伊田辺店","Akakara Restaurant, Kiitanabe","田辺市上の山1丁目2-18","1-2-18 Uenoyama, Tanabe-shi","熊野エリア","グルメ","N"
"まいどおおきに御坊財部食堂","Maidookini restaurant, Gobo-takara","御坊市湯川町財部70-2","70-2 Takara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","グルメ","N"
"まいどおおきに新宮佐野食堂","Maidookini restaurant, Shingu-sano","新宮市佐野3-11-19","3-11-19 Sano, Shingu-shi","熊野エリア","グルメ","N"
"丸源ラーメン御膳松店","Marugen Ramen Restaurant, Gozenmatsu","和歌山市湊1827-6","1827-6 Minato, Wakayama-shi","和歌山市エリア","グルメ","N"
"炭火焼肉屋さかい岩出店","Sumibiyakinikuya restaurant Sakai,Iwade","岩出市中島872-2","872-2 Nakajima, Iwade-shi","和歌山市エリア","グルメ","N"
"割烹　恵比寿","Kappo Restaurant Ebisu","和歌山市黒田261-2","261-2 Kuroda, Wakayama-shi","和歌山市エリア","グルメ","L"
"ビジネスホテル圭","Business Hotel Kei","和歌山市紀三井寺738-2","738-2 Kimiidera, Wakayama-shi","和歌山市エリア","宿泊","L"
"中国酒家くぅくぅ","Chinese restaurant Kuku","和歌山市元寺町2丁目13番地","2-13 Motoderamachi, Wakayama-shi","和歌山市エリア","グルメ","L"
"和粋彩いずみ","Japanese restaurant Wasuisai Izumi","和歌山市十番丁59ﾗｲｵﾝｽﾞﾏﾝｼｮﾝ1F","Lions Mansion 1F, 59 Jubancho, Wakayama-shi","和歌山市エリア","グルメ","N"
"ゆりかわ商店","Yurikawa stationary shop ","和歌山市吹上4-1-51","4-1-51 Fukiage, Wakayama-shi","和歌山市エリア","ショッピング","N"
"ホテルアバローム紀の国","Hotel Avalorm Kino-kuni","和歌山市湊通丁北2丁目1-2","2-1-2 Minatotorichokita, Wakayama-shi","和歌山市エリア","宿泊","L"
"イオンモール和歌山","AEONMALL Wakayama","和歌山市中字楠谷573","573 Nakaazakusutani, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","L"
"アムールミーモ店","AMORE MiiMo store","和歌山市南桶屋町10番地","10 Minamiokeyamachi, Wakayama-shi","和歌山市エリア","ショッピング","L"
"文房創庫オーヤマ","Oyama stationary store","和歌山市橋向丁17-1","17-1 Hashimukaicho, Wakayama-shi","和歌山市エリア","ショッピング","N"
"焼肉でん　新宮店","Yakiniku restaurant Den, Shingu","新宮市新宮3615-5","3615-5 Shingu, Shingu-shi","熊野エリア","グルメ","L"
"焼肉でん　御坊店","Yakiniku restaurant Den, Gobo","御坊市湯川町財部812-2","812-2 Takara, Yukawacho, Gobo-shi","有田・湯浅・日高エリア","グルメ","L"
"焼肉でん　田辺店","Yakiniku restaurant Den, Tanabe","田辺市新庄町2155-1","2155-1 Shinjocho, Tanabe-shi","熊野エリア","グルメ","N"
"焼肉でん　西浜店","Yakiniku restaurant Den, Nishihama","和歌山市西浜466-1","466-1 Nishihama, Wakayama-shi","和歌山市エリア","グルメ","N"
"カフェ＆レスト　紀和紀伊店","Cafe and restaurant Kiwa, Kii","和歌山市弘西773-17","773-17 Hironishi, Wakayama-shi","和歌山市エリア","グルメ","N"
"北の町１９番地","Cafe Kitanomachi No.19","和歌山市中ﾉ店北ﾉ丁10-1","10-1 Kitanocho, Nakanotana, Wakayama-shi","和歌山市エリア","グルメ","N"
"新和歌ロッジ","Shinwaka Lodge guesthouse","和歌山市新和歌浦2-3","2-3 Shinwakaura, Wakayama-shi","和歌山市エリア","宿泊","N"
"ＦＬＥＸ","Flex sports gym","和歌山市和歌浦東4-4","4-4 Wakaurahigashi, Wakayama-shi","和歌山市エリア","その他","L"
"マクドナルド紀三井寺店","McDonald's, Kimiidera","和歌山市小雑賀762-1","762-1 Kozaika, Wakayama-shi","和歌山市エリア","グルメ","N"
"マクドナルド宮街道店","McDonald's Restaurant,  Miyakaido","和歌山市秋月285-1","285-1 Akizuki, Wakayama-shi","和歌山市エリア","グルメ","N"
"マクドナルド四ヶ郷店","McDonald's, Shikago","和歌山市加納319-7","319-7 Kano, Wakayama-shi","和歌山市エリア","グルメ","N"
"マクドナルド４２号海南店","McDonald's restaurant, Kainan Route 42","海南市船尾238-1","238-1 Funo, Kainan-shi","和歌山市エリア","グルメ","N"
"ＨＯＴＥＬ　きのくに","HOTEL Kinokuni","和歌山市松江北7丁目10-8","7-10-8 Matsuekita, Wakayama-shi","和歌山市エリア","宿泊","N"
"ぶらくり丁商店街","Burakuri ch? Shopping street ","和歌山市本町1丁目","1 Honmachi, Wakayama-shi","和歌山市エリア","グルメ,ショッピング,その他","N"
"よこい","Yokoi Restaurant","和歌山市太田44-6","44-6 Oda, Wakayama-shi","和歌山市エリア","グルメ","N"
"磯賀屋","Isokaya Nori, dried laver seaweed store","和歌山市加太1469","1469 Kada Wakayama-shi","和歌山市エリア","ショッピング","L"
"オークワ　新宮仲之町店","Okuwa Shingunakanocho","新宮市谷王子町418-1","418-1 Taniojicho, Shingu-shi","熊野エリア","グルメ,ショッピング","L"
"オークワ　新宮駅前店","Okuwa Shingu Ekimae","新宮市蓬莱2-1-1","2-1-1 Horai, Shingu-shi","熊野エリア","グルメ,ショッピング","L"
"オークワ　古座川店","Okuwa Kozagawa","東牟婁郡古座川町高池64","64 Takaike, Kozagawa-cho Higashimuro-gun","白浜・串本エリア","グルメ,ショッピング","L"
"オークワ　串本店","Okuwa Kushimototen","東牟婁郡串本町串本40-22","40-22 Kushimoto, Kushimoto-cho Higashimuro-gun","白浜・串本エリア","グルメ,ショッピング","L"
"オークワ　日置店","Okuwa Hiki","西牟婁郡白浜町日置45","45 Hiki, Shirahama-cho Nishimuro-gun","白浜・串本エリア","グルメ,ショッピング","L"
"オークワ　オーシティ田辺店","Okuwa Oshititanabe","田辺市東山1-5-1","1-5-1 Higashiyama, Tanabe-shi","熊野エリア","グルメ,ショッピング","L"
"オークワ　桃山店","Okuwa Momoyama","紀の川市桃山町最上153-14","153-14 Momoyamacho Mogami, Kinokawa-shi","和歌山市エリア","グルメ,ショッピング","L"
"オークワ　湯浅店","Okuwa Yuasa","有田郡湯浅町湯浅1852","1852 Yuasa, Yuasa-cho Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","L"
"スーパーセンターオークワ　パームシティ和歌山店","Okuwa SuC Palm City Wakayama","和歌山市中野31-1","31-1 Nakano, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","L"
"オークワ　パビリオンシティ田辺店","Okuwa Pavilion City Tanabe","田辺市稲成町新江原3165","Sinehara 3165 Inaricho, Tanabe-shi","熊野エリア","グルメ,ショッピング","L"
"スーパーセンターオークワ　有田川店","Okuwa SuC Aridagawa","有田郡有田川町天満407-1","407-1 Temma, Aridagawa-cho Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","L"
"オークワ　紀三井寺店","Okuwa Kimiidera","和歌山市毛見薮下19","Yabusita19 Kemi, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","L"
"オークワ　貴志川店","Okuwa Kishigawa","紀の川市貴志川町神戸205-1","205-1 Kishigawacho Kodo, Kinokawa-shi","和歌山市エリア","グルメ,ショッピング","L"
"オークワ　粉河店","Okuwa Kokawa","紀の川市粉河762","762 Kokawa, Kinokawa-shi","和歌山市エリア","グルメ,ショッピング","L"
"オークワ　みなべ店","Okuwa Minabe","日高郡みなべ町芝227-1","227-1 Shiba, Minabe-cho Hidaka-gun","有田・湯浅・日高エリア","グルメ,ショッピング","L"
"オークワ　かつらぎ店","Okuwa Katsuragi","伊都郡かつらぎ町佐野881-1","881-1 Saya, Katsuragi-cho Ito-gun","高野山エリア","グルメ,ショッピング","L"
"オークワ　岩出西店","Okuwa Iwadenishi","岩出市中黒641-1","641-1 Nakakuro, Iwade-shi","和歌山市エリア","グルメ,ショッピング","L"
"オークワ　本社中島店","Okuwa Honshanakajima","和歌山市中島185-3","185-3 Nakajima, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","L"
"オークワ　ロマンシティ御坊店","Okuwa Romain City Gobo","御坊市湯川町財部181","181 Yukawacho Takara, Gobo-shi","有田・湯浅・日高エリア","グルメ,ショッピング","L"
"オークワ　ミレニアシティ岩出店","Okuwa Millenia City Iwade","岩出市中迫147","147 Nakabusa, Iwade-shi","和歌山市エリア","グルメ,ショッピング","L"
"オークワ　オー・ストリート　和歌山北バイパス店","Okuwa OS Wakayamakita bypass","和歌山市平井154","154 Hirai, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","L"
"オークワ　白浜堅田店","Okuwa Shirahamakatata","西牟婁郡白浜町堅田塩谷2056-1","Sioya 2056-1 Katata, Shirahama-cho Nishimuro-gun","白浜・串本エリア","グルメ,ショッピング","L"
"オークワ　高野口店","Okuwa Koyaguchi","橋本市高野口町伏原139-1","139-1 Koyaguchicho Fushihara, Hashimoto-shi","高野山エリア","グルメ,ショッピング","L"
"オークワ　大浦街道店","Okuwa Ourakaido","和歌山市湊西ﾉ坪45-1","45-1 Minato, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","L"
"オークワ　箕島店","Okuwa Minoshima","有田市新堂10-3","10-3 Shindo, Arida-shi","有田・湯浅・日高エリア","グルメ,ショッピング","L"
"オークワ　海南幡川店","Okuwa Kainanhatagawa","海南市幡川下九条105","Sitakuzyou105 Hatagawa, Kainan-shi","和歌山市エリア","グルメ,ショッピング","L"
"メッサオークワ　ガーデンパーク和歌山店","Okuwa MESA Garden Park Wakayama","和歌山市松江向鵜ﾉ島1469-1","Mukiunozima1469-1 Matsue, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","L"
"スーパーセンターオークワ　上富田店","Okuwa SuC Kamitonda","西牟婁郡上富田町朝来154-1","154-1 Asso, Kamitonda-cho Nishimuro-gun","白浜・串本エリア","グルメ,ショッピング","L"
"スーパーセンターオークワ　南紀店","Okuwa SuC Nanki","新宮市佐野3-11-19","3-11-19 Sano, Shingu-shi","熊野エリア","グルメ,ショッピング","L"
"オークワ　オー・ストリート　橋本彩の台店","Okuwa OS HashimotoAyanodai","橋本市あやの台1-50-3","1-50-3 Ayanodai, Hashimoto-shi","高野山エリア","グルメ,ショッピング","L"
"オークワ　和歌山中之島店","Okuwa Wakayamanakanoshima","和歌山市納定104","104 Nojo, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","L"
"オークワ　六十谷店","Okuwa Musota","和歌山市六十谷217-1","217-1 Musota, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","L"
"メッサオークワ　高松店","Okuwa MESA Takamatsu","和歌山市西高松1-7-88","1-7-88 Nishitakamatsu, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","L"
"オークワ　すさみ店","Okuwa Susami","西牟婁郡すさみ町周参見3766","3766 Susami, Susami-cho Nishimuro-gun","白浜・串本エリア","グルメ,ショッピング","L"
"オークワ　海南野上店","Okuwa Kainannokami","海南市野上中420","420 Nokami Naka, Kainan-shi","和歌山市エリア","グルメ,ショッピング","L"
"スーパーセンターオークワ　橋本店","Okuwa SuC Hashimoto","橋本市妻2-2-25","2-2-25 Tsuma, Hashimoto-shi","高野山エリア","グルメ,ショッピング","L"
"スーパーセンターオークワ　海南店","Okuwa SuC Kainan","海南市築地1-1","1-1 Tsukiji, Kainan-shi","和歌山市エリア","グルメ,ショッピング","L"
"オークワ　屋形店","Okuwa Yakata","和歌山市屋形町4-29","4-29 Yakatamachi, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","L"
"スーパーセンターオークワ　セントラルシティ和歌山店","Okuwa SuC Central City Wakayama","和歌山市小雑賀805-1","805-1 Kozaika, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","L"
"ＧｕｅｓｔＨｏｕｓｅ　ＲＩＣＯ","Guest House RICO","和歌山市新通5-6","5-6 Shintori, Wakayama-shi","和歌山市エリア","宿泊","L"
"味千拉麺　和歌山北インター店","Ajisen ramen restaurant, Wakayama  Kita Interchange","和歌山市田屋105ｺﾒﾘ駐車場内","On the site of the parking lot of Komeri, 105 Taya, Wakayama-shi","和歌山市エリア","グルメ","N"
"日本赤十字社和歌山医療センター","Japanese Red Cross Wakayama Medical Center","和歌山市小松原通4-20","4-20 Komatsubaradori, Wakayama-shi","和歌山市エリア","その他","N"
"ぶらくり丁　大通り商店街","Burakuri ch?  ohdori Shopping street ","和歌山市元寺町1","1 Motoderamachi, Wakayama-shi","和歌山市エリア","グルメ,ショッピング,その他","N"
"島崎家具","Shimazaki furniture shop","和歌山市黒田1丁目4-1","1-4-1 Kuroda, Wakayama-shi","和歌山市エリア","ショッピング","N"
"わかやま旅案内所","Wakayama Travel Information","和歌山市七番丁26-1ﾀﾞｲﾜﾛｲﾈｯﾄﾎﾃﾙ2F","Daiwa Roynet Hotel 2F, 26-1 Shichibancho, Wakayama-shi","和歌山市エリア","グルメ,ショッピング,観光スポット,その他","N"
"トレーディングカードショップ　マナソース","Manasosu Trading Card shop ","和歌山市太田1-6-11","1-6-11 Oda, Wakayama-shi","和歌山市エリア","ショッピング","L"
"木村屋旅館","Kimuraya Ryokan","和歌山市新和歌浦2-2","2-2 Shinwakaura, Wakayama-shi","和歌山市エリア","宿泊","N"
"東ぶらくり丁商店街","Higashi burakurich? Shopping street ","和歌山市新堺丁25","25 Shinsakaicho, Wakayama-shi","和歌山市エリア","グルメ,ショッピング,その他","N"
"イズミヤ和歌山店","Supremarket Izumiya Wakayama Store","和歌山市新生町7-20","7-20 Shinseicho, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"グリル　エイト","Restaurant Grill Eight","和歌山市八番丁32","32 Hachibancho, Wakayama-shi","和歌山市エリア","グルメ","N"
"きのくに信用金庫　本店営業部","Kinokuni Shinkin Bank, central branch","和歌山市本町2-38","2-38 Honmachi, Wakayama-shi","和歌山市エリア","その他","N"
"きのくに信用金庫　白浜支店","Kinokuni Shinkin Bank, Shirahama branch","西牟婁郡白浜町911-8","911-8 Shirahamacho, Nishimuro-gun","白浜・串本エリア","その他","N"
"ばり馬和歌山四ヶ郷店","Ramen Restaurant Bariuma Wakayama Shikago Restaurant","和歌山市加納204-2","204-2 Kano, Wakayama-shi","和歌山市エリア","グルメ","N"
"ばり馬和歌山新堀店","Ramen Restaurant Bariuma Wakayama S hinbori Restaurant","和歌山市手平6-108-1","6-108-1 Tebira, Wakayama-shi","和歌山市エリア","グルメ","N"
"ばり馬和歌山岩出店","Restaurant Bariuma Wakayama Iwade Restaurant","岩出市川尻17-8","17-8 Kawajiri, Iwade-shi","和歌山市エリア","グルメ","N"
"ばり馬和歌山紀三井寺店","Ramen Restaurant Bariuma Wakayama Kimiidera Restaurant","和歌山市毛見12-11","12-11 Kemi, Wakayama-shi","和歌山市エリア","グルメ","N"
"海鮮せいろ蒸し勝浦","Restaurant Kaisen Seiromushi Katsuura","和歌山市湊45-1","45-1 Minato, Wakayama-shi","和歌山市エリア","グルメ","N"
"伊酒屋　ｐｒｅｇｏ","Restaurant Izakaya Prego","和歌山市太田1-4‐34伊勢屋ﾋﾞﾙ1F","Iseya Building 1F, 1-4-34 Oda, Wakayama-shi","和歌山市エリア","グルメ","N"
"鮨、天の","Sushi Restaurant Amano","和歌山市元寺町3-5","3-5 Motoderamachi, Wakayama-shi","和歌山市エリア","グルメ","L"
"ビジネスホテルタツミ","Business Hotel Tatsumi","和歌山市紀三井寺618","618 Kimiidera, Wakayama-shi","和歌山市エリア","宿泊","N"
"ファミリーショップ　クイノセ","Family Shop Kuinose daily necessities shop","和歌山市舟大工28","28 Funadaikumachi, Wakayama-shi","和歌山市エリア","ショッピング","N"
"南海マリーナ","Nankai Marina","和歌山市湊1820","1820 Minato, Wakayama-shi","和歌山市エリア","ショッピング,その他","L"
"和歌山県書道資料館","Wakayama calligraphy musium","和歌山市西汀丁61","61 Nishimigiwacho, Wakayama-shi","和歌山市エリア","その他","L"
"和歌山トヨタ自動車株式会社　美園店","Car Dealer Wakayama Toyota Motors Misono branch ","和歌山市美園町2-65","2-65 Misonocho, Wakayama-shi","和歌山市エリア","その他","L"
"和歌山トヨタ自動車株式会社フォルクスワーゲン和歌山中央","Wakayama Toyota, Volkswagen  Wakayama chuo, Car Dealer","和歌山市栗栖647-1","647-1 Kurusu, Wakayama-shi","和歌山市エリア","その他","L"
"国立大学法人　和歌山大学","National University Corporation Wakayama University","和歌山市栄谷930","5 Ichibancho, Wakayama-shi","和歌山市エリア","その他","N"
"松源　本店","Supermarket Matsugen Head Store","和歌山市吹上2丁目4番50号","2-4-50 Fukiage, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　海南日方店","Supermarket Matsugen Kainanhikata Store","海南市日方上芦原1030番地","1030 Kamiashihara, Hikata, Kainan-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　下津店","Supermarket Matsugen Shimotsu Store","海南市下津町丁65-1","65-1 Yoro Shimotsucho, Kainan-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　箕島店","Supermarket Matsugen Minoshima Store","有田市箕島721番地の1","721-1 Minoshima, Arida-shi","有田・湯浅・日高エリア","グルメ,ショッピング","N"
"松源　粉河店","Supermarket Matsugen Kokawa Store","紀の川市粉河785番地","785 Kokawa, Kinokawa-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　妙寺店","Supermarket Matsugen Myoji Shop","伊都郡かつらぎ町妙寺160番地の8","160-8 Myoji, Katsuragicho, Ito-gun","高野山エリア","グルメ,ショッピング","N"
"松源　吉備店","Supermarket Matsugen Kibi Store","有田郡有田川町下津野558番地","558 Shimotsuno, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N"
"松源　高野口店","Supermarket Matsugen Koyaguchi Store","橋本市高野口町名倉東大芝199番地の1","199-1 Higashioshiba nagura Koyaguchicho, Hashimoto-shi","高野山エリア","グルメ,ショッピング","N"
"松源　栄谷店","Supermarket Matsugen Sakaedani Store","和歌山市延時字水口10番地の1","10-1 Mizuguchi, Nobutoki, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　橋本店","Supermarket Matsugen Hashimoto Store","橋本市東家1丁目166番地の1","1-166-1 Toge, Hashimoto-shi","高野山エリア","グルメ,ショッピング","N"
"松源　貴志川店","Supermarket Matsugen Kishigawa Store","紀の川市貴志川町神戸字野手218ｲｵﾝﾀｳﾝ貴志川ｼｮｯﾋﾟﾝｸﾞｾﾝﾀｰ内","In the Aeon Town Kishigawa Shopping Center, 218 Node, Kodo, Kishigawacho, Kinokawa-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　吉礼駅前店","Supermarket Matsugen Kireekimae Store","和歌山市吉礼1612番地の2","1612-2 Kire, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　湯浅店","Supermarket Matsugen Yuasa Store","有田郡湯浅町1658番地の1","1658-1 Yuasacho, Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N"
"松源　海南阪井店","Supermarket Matsugen Kainansakai Store","海南市阪井字佃945番地の1","945-1 Tsukuda, Sakai, Kainan-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　西浜店","Supermarket Matsugen  Nishihama Store","和歌山市西浜1026番地の1","1026-1 Nishihama, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　岩出店","Supermarket Matsugen Iwade Store","岩出市大町58番地の1","58-1 Omachi, Iwade-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　木ノ本店","Supermarket Matsugen Kinomoto Store","和歌山市木ﾉ本395-3","395-3 Kinomoto, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　伏原店","Supermarket Matsugen Fushihara Store","橋本市高野口町伏原106番地","106 Fushihara, Koyaguchicho, Hashimoto-shi","高野山エリア","グルメ,ショッピング","N"
"松源　元寺店","Supermarket Matsugen Motodera Store","和歌山市元寺町5-58ｼﾃｨﾜｶﾔﾏ内","CITY! WAKAYAMA, 5-58 Motoderamachi, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　岩出中黒店","Supermarket Matsugen Iwadenakaguro Store","岩出市中黒546番","546 Nakakuro, Iwade-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　御坊店","Supermarket Matsugen Gobo Store","御坊市薗53番4","53-4 Sono, Gobo-shi","有田・湯浅・日高エリア","グルメ,ショッピング","N"
"松源　西庄店","Supermarket Matsugen Nishinosho Store","和歌山市西庄妙見409番1","409-1 Myoken, Nishinosho, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　内原店","Supremarket Matsugen Uchihara Store","和歌山市内原763番1","763-1 Uchihara, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　和歌山インター店","Matsugen Supermarket Matsugen Wakayama inter Store","和歌山市田屋138番地","138 Taya, Wakayama-shi","和歌山市エリア","グルメ,ショッピング","N"
"松源　橋本林間店","Supermarket Matsugen Hashimoto-rinkan Store","橋本市三石台1丁目2番1号","1-2-1 Mitsuishidai, Hashimoto-shi","高野山エリア","グルメ,ショッピング","N"
"中国料理　可口楽","Chinese restaurant KaKura","和歌山市美園町5-4-9","5-4-9 Misonocho, Wakayama-shi","和歌山市エリア","グルメ","L"
"本町商店街","Honmachi Shopping street","和歌山市本町2-10","2-10 Honmachi, Wakayama-shi","和歌山市エリア","グルメ,ショッピング,その他","N"
"まつや食堂","Restaurant Matsuya Shokudo","和歌山市雑賀屋町東ﾉ丁64","64 Higashinocho, Saikayamachi, Wakayama-shi","和歌山市エリア","グルメ","N"
"フクちゃん","Restaurant Fukuchan","和歌山市中島185-5ｺｰﾎﾟ中島104","Corpo Nakajima Rm.104, 185-5 Nakajima, Wakayama-shi","和歌山市エリア","グルメ","N"
"ハネ馬","Haneuma, Japanese style pub","和歌山市十番丁72","72 Jubancho, Wakayama-shi","和歌山市エリア","グルメ","N"
"廣井時計店","Hiroi clock shop","和歌山市打越町1-16","1-16 Uchikoshicho, Wakayama-shi","和歌山市エリア","ショッピング","N"
"Ｋａ　ｒ　ｔｏｆｆｅｌ（かるとふぇる）","Restaurant Kartoffel","和歌山市太田2-14-9ｱｽﾞﾏ太田ﾋﾞﾙ","Azuma Oda Building, 2-14-9 Oda, Wakayama-shi","和歌山市エリア","グルメ","N"
"南海和歌山市駅　観光案内所","Tourist Information Center Nankai Wakayamashi Station","和歌山市東蔵前丁3-6","3-6 Higashikuramaecho, Wakayama-shi","和歌山市エリア","公共交通,観光スポット,その他","N"
"加太観光協会　観光案内所","Kada Tourist Association Tourist Information Center","和歌山市加太1067","1067 Kada, Wakayama-shi","和歌山市エリア","観光スポット,その他","L"
"活魚料理いなさ","Fresh Seafood Restaurant Inasa","和歌山市加太196","196 Kada, Wakayama-shi","和歌山市エリア","グルメ","N"
"大阪屋　ひいなの湯","Osakaya Hiina no Yu Ryokan","和歌山市加太142","142 Kada, Wakayama-shi","和歌山市エリア","宿泊,グルメ","L"
"巴旅館","Tomoe Ryokan","和歌山市本町3丁目8","3-8 Honmachi, Wakayama-shi","和歌山市エリア","宿泊","N"
"ホテル　ポルト・ディ・マーレ","Hotel Porto di Mare","和歌山市中47-2","47-2 Naka, Wakayama-shi","和歌山市エリア","宿泊","N"
"南海電鉄　林間田園都市駅","Nankai Electric Railway Rinkandenentoshi Sta. (NK75)","橋本市三石台1-1-1","1-1-1 Mitsuishidai, Hashimoto-shi","高野山エリア","公共交通","L"
"南海電鉄　橋本駅","Nankai Electric Railway Hashimoto Sta. (NK77)","橋本市古佐田1-4-51","1-4-51 Kosada, Hashimoto-shi","高野山エリア","公共交通","L"
"南海電鉄　極楽橋駅","Nankai Electric Railway Gokurakubashi Sta. (NK86)","伊都郡高野町大字高野山国有林第8林班","8 Koyasankokuyurin, Koya-cho, Ito-gun","高野山エリア","公共交通","L"
"南海電鉄　和歌山市駅","Nankai Electric Railway Wakayamashi Sta. (NK45)","和歌山市東蔵前丁3-6","3-6 Higashikuramaecho, Wakayama-shi","和歌山市エリア","公共交通","L"
"炭火やき鳥鳥々呂","Restaurant Sumibi Yakitori Totoro","和歌山市太田4-3-5川端ﾋﾞﾙ1F8号","Kawabata Building 1F Rm.8, 4-3-5 Oda, Wakayama-shi","和歌山市エリア","グルメ","N"
"鳥々呂　福島店","Restaurant Totoro Fukushima","和歌山市福島487ﾙﾐﾉｰｿﾞふるい2F","Luminozo Furui 2F, 487 Fukushima, Wakayama-shi","和歌山市エリア","グルメ","N"
"三八波","Restaurant Mihanami","和歌山市黒田2-1-25","2-1-25 Kuroda, Wakayama-shi","和歌山市エリア","グルメ","N"
"炭火焼肉　なのはな","Sumibi Yakiniku Restaurant Nanohana","和歌山市太田1-12-31","1-12-31 Oda, Wakayama-shi","和歌山市エリア","グルメ","L"
"デリシャス廣岡　吉備店","Supermarket Delicious Hirooka Kibi Store","有田郡有田川町天満568","568 Tenma, Aridagawacho, Arida-gun","有田・湯浅・日高エリア","グルメ,ショッピング","N"
